Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,323.0299987792969,325.1199951171875,322.6600036621094,323.5,313.3919677734375,84062500
2020-01-28,325.05999755859375,327.8500061035156,323.6000061035156,326.8900146484375,316.67608642578125,63834000
2020-01-29,328.3800048828125,328.6300048828125,326.3999938964844,326.6199951171875,316.4145202636719,53888900
2020-01-30,324.3599853515625,327.9100036621094,323.5400085449219,327.67999267578125,317.4413757324219,75491800
2020-01-31,327.0,327.1700134277344,320.7300109863281,321.7300109863281,311.6772766113281,113845600
2020-02-03,323.3500061035156,326.1600036621094,323.2200012207031,324.1199951171875,313.99261474609375,69083000
2020-02-04,328.07000732421875,330.010009765625,327.7200012207031,329.05999755859375,318.7782287597656,62573200
2020-02-05,332.2699890136719,333.0899963378906,330.6700134277344,332.8599853515625,322.45947265625,65951100
2020-02-06,333.9100036621094,334.19000244140625,332.79998779296875,333.9800109863281,323.5445251464844,50359700
2020-02-07,332.82000732421875,333.989990234375,331.6000061035156,332.20001220703125,321.8201599121094,64139400
2020-02-10,331.2300109863281,334.75,331.19000244140625,334.67999267578125,324.2226867675781,42070000
2020-02-11,336.1600036621094,337.0199890136719,334.67999267578125,335.260009765625,324.7845764160156,54864500
2020-02-12,336.8299865722656,337.6499938964844,336.42999267578125,337.4200134277344,326.8770751953125,43992700
2020-02-13,335.8599853515625,338.1199951171875,335.55999755859375,337.05999755859375,326.5283203125,54501900
2020-02-14,337.510009765625,337.7300109863281,336.20001220703125,337.6000061035156,327.0514221191406,64582200
2020-02-18,336.510009765625,337.6700134277344,335.2099914550781,336.7300109863281,326.2085876464844,57226200
2020-02-19,337.7900085449219,339.0799865722656,337.4800109863281,338.3399963378906,327.768310546875,48814700
2020-02-20,337.739990234375,338.6400146484375,333.67999267578125,336.95001220703125,326.4217529296875,74163400
2020-02-21,335.4700012207031,335.80999755859375,332.5799865722656,333.4800109863281,323.0601806640625,113788200
2020-02-24,323.1400146484375,333.55999755859375,321.239990234375,322.4200134277344,312.34576416015625,161088400
