Open,High,Low,Close,Adj Close,Volume
149.50999450683594,151.3800048828125,148.9199981689453,150.11000061035156,147.53155517578125,831200
150.11000061035156,151.7899932861328,150.11000061035156,151.0500030517578,148.4553985595703,452800
151.3000030517578,152.72999572753906,150.4499969482422,151.52000427246094,148.91732788085938,514200
150.5,153.38999938964844,150.11000061035156,153.30999755859375,150.6765899658203,568400
152.80999755859375,153.50999450683594,150.44000244140625,150.69000244140625,148.1016082763672,659300
151.50999450683594,152.10000610351562,150.5800018310547,151.0,148.40628051757812,398800
152.67999267578125,153.3800048828125,151.55999755859375,152.2100067138672,149.59547424316406,382400
153.02000427246094,154.1999969482422,152.4600067138672,152.9199981689453,150.2932891845703,341500
153.00999450683594,154.7899932861328,152.02999877929688,154.25,151.60044860839844,459500
153.86000061035156,154.4600067138672,152.00999450683594,152.8699951171875,150.244140625,353500
152.52999877929688,155.32000732421875,151.77000427246094,153.8800048828125,151.23681640625,591400
157.0,162.6300048828125,155.77000427246094,162.27000427246094,159.48269653320312,2184600
163.0,168.1199951171875,163.0,167.8300018310547,164.94717407226562,1099400
166.67999267578125,167.55999755859375,164.1199951171875,167.0,164.13145446777344,783700
167.0,168.61000061035156,166.14999389648438,168.50999450683594,165.61549377441406,404500
168.11000061035156,168.38999938964844,166.99000549316406,167.92999267578125,165.0454559326172,563600
168.1999969482422,168.77999877929688,167.44000244140625,168.25999450683594,165.36976623535156,382000
167.88999938964844,168.63999938964844,166.72000122070312,168.27999877929688,165.38943481445312,519000
168.05999755859375,168.66000366210938,167.22999572753906,167.9499969482422,165.0651092529297,546600
165.14999389648438,168.33999633789062,164.55999755859375,167.4600067138672,164.94691467285156,860100
167.74000549316406,168.97999572753906,163.82000732421875,164.8699951171875,162.39578247070312,1276200
165.80999755859375,167.99000549316406,165.22000122070312,165.44000244140625,162.9572296142578,1086800
163.7899932861328,168.5500030517578,162.8699951171875,163.6199951171875,161.1645050048828,1159000
160.0800018310547,162.86000061035156,155.16000366210938,158.6199951171875,156.2395782470703,1618500
159.0500030517578,163.39999389648438,156.08999633789062,163.39999389648438,160.94786071777344,1089700
163.47999572753906,165.8800048828125,158.1699981689453,161.02999877929688,158.6134033203125,897900
163.52000427246094,165.82000732421875,159.83999633789062,164.4499969482422,161.98208618164062,851300
161.5399932861328,162.83999633789062,155.99000549316406,158.13999938964844,155.7667999267578,931700
154.50999450683594,157.4199981689453,152.25999450683594,157.02999877929688,154.67344665527344,788800
150.0800018310547,151.02999877929688,144.8699951171875,145.5,143.31646728515625,1061100
148.49000549316406,151.08999633789062,145.14999389648438,151.08999633789062,148.8225555419922,918600
147.6699981689453,148.7899932861328,143.25999450683594,145.25,143.0702362060547,704700
138.17999267578125,138.6699981689453,130.7100067138672,131.05999755859375,129.0931854248047,870900
136.58999633789062,137.47000122070312,127.2699966430664,136.2899932861328,134.2446746826172,900300
124.54000091552734,129.02999877929688,120.05000305175781,120.5,118.69164276123047,894500
123.31999969482422,133.8800048828125,118.04000091552734,130.6300048828125,128.6696319580078,922200
121.2699966430664,130.8800048828125,111.73999786376953,122.77999877929688,120.93743896484375,925400
121.86000061035156,125.44000244140625,116.91000366210938,121.22000122070312,119.40084075927734,811700
121.41000366210938,122.87000274658203,115.33000183105469,115.69999694824219,113.96367645263672,833000
115.43000030517578,117.75,105.69000244140625,107.76000213623047,106.14285278320312,920000
112.77999877929688,118.98999786376953,110.81999969482422,118.11000061035156,116.33751678466797,783000
117.30000305175781,123.37000274658203,115.30999755859375,117.81999969482422,116.05187225341797,787300
119.13999938964844,130.27000427246094,119.0,129.61000061035156,127.6649398803711,1020800
125.61000061035156,133.52999877929688,123.80000305175781,129.74000549316406,127.7929916381836,1027700
131.2100067138672,140.39999389648438,131.13999938964844,139.99000549316406,137.88917541503906,898700
139.5800018310547,142.36000061035156,137.6999969482422,139.97000122070312,137.8694610595703,1276100
135.2100067138672,140.02999877929688,133.7899932861328,137.6999969482422,135.63351440429688,1044200
137.35000610351562,141.42999267578125,136.00999450683594,139.5500030517578,137.4557647705078,732400
138.47000122070312,140.94000244140625,137.57000732421875,138.72000122070312,136.63821411132812,908300
143.9600067138672,149.50999450683594,142.2100067138672,148.64999389648438,146.41920471191406,978800
149.99000549316406,154.3699951171875,147.75999450683594,148.75999450683594,146.5275421142578,1080600
149.63999938964844,150.60000610351562,146.22000122070312,149.25,147.01019287109375,826600
149.14999389648438,153.72999572753906,147.86000061035156,152.69000244140625,150.39857482910156,669500
152.5399932861328,153.41000366210938,145.25999450683594,149.50999450683594,147.26629638671875,737400
152.27000427246094,158.52999877929688,151.25,157.16000366210938,154.80149841308594,930300
154.1699981689453,156.0399932861328,151.97000122070312,154.75,152.4276580810547,589300
155.57000732421875,156.22999572753906,149.4600067138672,150.3300018310547,148.07398986816406,888400
152.9600067138672,155.4600067138672,149.49000549316406,154.97000122070312,152.6443328857422,717300
153.89999389648438,160.16000366210938,153.44000244140625,157.4499969482422,155.08714294433594,889200
155.02000427246094,155.38999938964844,146.41000366210938,147.77999877929688,145.562255859375,718800
149.9499969482422,152.27999877929688,147.57000732421875,150.8800048828125,148.61575317382812,393900
150.4199981689453,153.07000732421875,149.0399932861328,149.4499969482422,147.20718383789062,593600
150.5,151.1199951171875,145.52999877929688,147.82000732421875,145.6016845703125,766900
149.36000061035156,150.82000732421875,148.0,149.6699981689453,147.4239044189453,408200
150.60000610351562,151.75,146.13999938964844,146.2100067138672,144.0158233642578,523700
147.25,149.2100067138672,145.61000061035156,146.86000061035156,144.65606689453125,519300
