Open,High,Low,Close,Adj Close,Volume
174.77000427246094,175.22999572753906,169.85000610351562,170.30999755859375,165.37210083007812,1581300
172.1999969482422,176.3300018310547,171.6999969482422,175.92999267578125,170.82913208007812,938100
176.35000610351562,176.94000244140625,171.66000366210938,171.72000122070312,166.7412109375,1028900
173.5,175.3699951171875,169.57000732421875,172.9199981689453,167.9064178466797,1448000
171.3800048828125,172.75,165.25,165.74000549316406,160.93458557128906,1505700
167.27000427246094,170.64999389648438,167.00999450683594,169.92999267578125,165.00306701660156,1181500
174.3300018310547,178.8000030517578,173.83999633789062,178.8000030517578,173.61593627929688,1735900
176.05999755859375,177.7899932861328,168.8000030517578,171.27999877929688,166.31394958496094,3113100
171.42999267578125,173.38999938964844,170.14999389648438,171.74000549316406,166.76063537597656,1370300
170.7100067138672,171.27000427246094,164.75999450683594,165.10000610351562,160.31314086914062,1492800
164.10000610351562,169.00999450683594,164.0800018310547,168.9199981689453,164.02239990234375,1680300
169.2100067138672,173.52999877929688,168.3300018310547,173.0399932861328,168.0229034423828,1269000
174.0,176.4600067138672,173.85000610351562,175.97000122070312,170.86798095703125,957700
175.67999267578125,180.0800018310547,174.91000366210938,178.72000122070312,173.5382843017578,1158000
179.1199951171875,179.75999450683594,174.88999938964844,176.27999877929688,171.1689910888672,864800
167.0,172.0,166.6699981689453,169.22999572753906,164.3234100341797,1778300
172.2100067138672,174.82000732421875,171.0,172.97999572753906,167.96466064453125,1069300
171.74000549316406,172.4199981689453,165.6699981689453,167.3000030517578,163.2515411376953,1664400
165.6699981689453,166.25,160.80999755859375,161.1199951171875,157.2211151123047,1909900
154.75,156.86000061035156,152.89999389648438,153.72999572753906,150.00991821289062,2649600
155.27999877929688,155.99000549316406,147.07000732421875,147.41000366210938,143.84286499023438,2046900
149.0,150.64999389648438,146.22000122070312,147.27000427246094,143.70626831054688,1879300
142.80999755859375,148.3800048828125,142.27000427246094,147.99000549316406,144.40882873535156,3589700
142.08999633789062,153.92999267578125,142.08999633789062,153.7100067138672,149.9904022216797,3695100
154.5,159.0,151.7100067138672,158.74000549316406,154.89871215820312,2706400
156.80999755859375,159.2899932861328,152.3800048828125,153.80999755859375,150.08799743652344,2397400
157.08999633789062,160.7100067138672,154.66000366210938,160.7100067138672,156.82101440429688,1493300
156.64999389648438,158.8800048828125,154.47999572753906,156.69000244140625,152.89828491210938,1697000
152.0500030517578,156.13999938964844,151.49000549316406,155.67999267578125,151.91275024414062,1858400
144.97999572753906,150.49000549316406,144.25999450683594,144.9199981689453,141.41311645507812,2815600
148.50999450683594,154.75999450683594,145.5800018310547,154.57000732421875,150.82958984375,2438500
150.1300048828125,152.22000122070312,142.6199951171875,144.9199981689453,141.41311645507812,2730500
135.24000549316406,139.0,125.25,125.36000061035156,122.32644653320312,2672700
132.82000732421875,145.75999450683594,127.88999938964844,145.3699951171875,141.8522186279297,2804300
128.69000244140625,140.47999572753906,126.19000244140625,129.5,126.36627197265625,2752300
131.8699951171875,150.44000244140625,125.63999938964844,149.6300048828125,146.00918579101562,3213600
132.25,143.1300048828125,127.36000061035156,132.02000427246094,128.82530212402344,2664600
131.8800048828125,135.4199981689453,126.76000213623047,127.36000061035156,124.2780532836914,1954800
129.7100067138672,132.5500030517578,113.08000183105469,114.0199966430664,111.26084899902344,2632600
114.31999969482422,120.69000244140625,110.19000244140625,116.36000061035156,113.54424285888672,2124900
121.69999694824219,136.5500030517578,120.0,136.36000061035156,133.06024169921875,2776100
135.72000122070312,145.94000244140625,134.38999938964844,137.47000122070312,134.14341735839844,1703000
140.77000427246094,150.47000122070312,139.05999755859375,149.75999450683594,146.13600158691406,1870400
145.0399932861328,147.1699981689453,141.32000732421875,142.24000549316406,138.7979736328125,2240600
142.07000732421875,150.57000732421875,142.0,149.52000427246094,145.9018096923828,1623700
150.83999633789062,150.83999633789062,141.52999877929688,143.74000549316406,140.26168823242188,2907200
138.6999969482422,141.22000122070312,129.66000366210938,131.61000061035156,128.42520141601562,1660800
129.57000732421875,133.7899932861328,129.30999755859375,132.44000244140625,129.23512268066406,1346000
130.82000732421875,132.99000549316406,125.55999755859375,127.94000244140625,124.84403228759766,1143700
135.2100067138672,149.2100067138672,132.92999267578125,148.5,144.90647888183594,1846000
154.10000610351562,155.0,146.52000427246094,147.27000427246094,143.70626831054688,1454100
149.58999633789062,153.14999389648438,146.91000366210938,152.3699951171875,148.68283081054688,1350000
152.14999389648438,157.8699951171875,148.49000549316406,150.1199951171875,146.48728942871094,1303800
149.5,152.4199981689453,148.17999267578125,152.08999633789062,148.4096221923828,868300
155.10000610351562,162.33999633789062,153.80999755859375,161.72999572753906,157.8163299560547,1274700
158.17999267578125,158.3000030517578,151.11000061035156,153.22000122070312,149.51223754882812,1278600
158.2100067138672,160.75,154.22999572753906,156.64999389648438,152.8592529296875,1563000
160.92999267578125,162.2899932861328,157.7899932861328,161.2100067138672,157.30892944335938,998100
158.7899932861328,160.33999633789062,156.0500030517578,156.3000030517578,152.51771545410156,634800
153.44000244140625,154.17999267578125,147.4600067138672,148.58999633789062,144.9943084716797,1284700
154.30999755859375,159.36000061035156,151.2899932861328,158.67999267578125,154.84011840820312,1207500
158.44000244140625,160.83999633789062,157.00999450683594,159.4499969482422,155.59152221679688,1404500
160.97999572753906,165.57000732421875,158.02000427246094,164.9199981689453,160.9291229248047,1492500
167.0399932861328,169.24000549316406,164.63999938964844,166.05999755859375,162.04156494140625,1030500
168.38999938964844,170.77000427246094,165.9499969482422,166.27000427246094,162.2465057373047,1198900
